Timestamp,Gold_price,Exchange_mid_rate,Xau_Price
2/3/2020,23900,31.3965,1590.73
3/3/2020,23850,31.5024,1639.77
4/3/2020,24300,31.3779,1635.83
5/3/2020,24550,31.4368,1670.61
6/3/2020,25000,31.5891,1674.23
7/3/2020,24900,31.5891,1674.23
9/3/2020,24900,31.4907,1680.2
10/3/2020,24700,31.4158,1649.36
11/3/2020,24700,31.4845,1635.03
12/3/2020,24500,31.5474,1577.09
13/3/2020,23850,31.9309,1529.7
14/3/2020,23200,31.9309,1529.7
16/3/2020,23200,31.956,1514.61
17/3/2020,22600,32.1331,1528.58
18/3/2020,23200,32.3026,1486.3
19/3/2020,22850,32.6329,1471
20/3/2020,23200,32.5161,1498.24
21/3/2020,23200,32.5161,1498.24
23/3/2020,23300,32.9394,1553.81
24/3/2020,24500,32.8736,1622.03
25/3/2020,24500,32.8379,1613.79
26/3/2020,24550,32.7882,1632.38
27/3/2020,24800,32.4561,1623.5
28/3/2020,24950,32.4561,1623.5
30/3/2020,24900,32.647,1623.3
31/3/2020,24950,32.6712,1571.31
1/4/2020,24900,32.8852,1595.05
2/4/2020,24850,33.0903,1613.79
3/4/2020,25050,32.9039,1618.45
4/4/2020,25200,32.9039,1618.45
6/4/2020,25300,32.9039,1663
7/4/2020,25300,32.8187,1648.95
8/4/2020,25400,32.8125,1646.52
9/4/2020,25450,32.776,1684.07
10/4/2020,25650,32.6857,1689.9
11/4/2020,25650,32.6857,1689.9
13/4/2020,25700,32.7431,1714.32
14/4/2020,26100,32.7534,1729.7
15/4/2020,26000,32.6179,1716.6
16/4/2020,26200,32.7085,1718.4
17/4/2020,25950,32.5173,1684.69
18/4/2020,25850,32.5173,1684.69
20/4/2020,25800,32.493,1694.12
21/4/2020,25850,32.5571,1687.02
22/4/2020,26000,32.4994,1714.82
23/4/2020,26300,32.3449,1731.59
24/4/2020,26350,32.4311,1729.43
25/4/2020,26350,32.4311,1729.43
27/4/2020,26250,32.46,1715.57
28/4/2020,26150,32.492,1708.63
29/4/2020,26100,32.4251,1712.38
30/4/2020,26200,32.3781,1685.05
1/5/2020,25800,32.3781,1700.41
2/5/2020,26100,32.3781,1700.41
4/5/2020,26150,32.3781,1701.69
5/5/2020,26000,32.3794,1707.17
6/5/2020,26100,32.3794,1685.88
7/5/2020,25950,32.446,1717.94
8/5/2020,26200,32.2756,1702.65
9/5/2020,25950,32.2756,1702.65
11/5/2020,25950,32.165,1697.35
12/5/2020,25950,32.1648,1702.72
13/5/2020,25900,32.0766,1715.99
14/5/2020,26100,32.0917,1730.65
15/5/2020,26300,32.0831,1743
16/5/2020,26350,32.0831,1743
18/5/2020,26600,32.0469,1732.32
19/5/2020,26250,31.9403,1745.11
20/5/2020,26350,31.8824,1749.5
21/5/2020,26150,31.8558,1726.34
22/5/2020,26200,31.8665,1736.07
23/5/2020,26250,31.8665,1736.07
25/5/2020,26200,31.9514,1729.57
26/5/2020,26050,31.919,1712.45
27/5/2020,25800,31.8807,1709.25
28/5/2020,26000,31.8806,1719.4
29/5/2020,26000,31.845,1728.3
30/5/2020,26050,31.845,1728.3
1/6/2020,26050,31.7433,1740.34
2/6/2020,26000,31.6022,1727.97
3/6/2020,25750,31.6022,1698.63
4/6/2020,25550,31.6129,1711.84
5/6/2020,25500,31.5064,1685.83
6/6/2020,25200,31.5064,1685.83
8/6/2020,25250,31.4865,1695.47
9/6/2020,25350,31.3794,1714.57
10/6/2020,25400,31.2252,1737.1
11/6/2020,25400,30.9513,1727.51
12/6/2020,25450,31.075,1730.8
13/6/2020,25400,31.075,1730.8
15/6/2020,25300,31.0116,1725.53
16/6/2020,25450,31.0598,1727.46
17/6/2020,25400,31.1546,1727.04
18/6/2020,25450,31.1377,1722.99
19/6/2020,25400,31.0323,1743.62
20/6/2020,25550,31.0323,1743.62
22/6/2020,25650,30.9956,1755.44
23/6/2020,25750,30.9917,1767.54
24/6/2020,25900,30.8674,1762.43
25/6/2020,25800,30.8859,1761.82
26/6/2020,25800,30.8985,1771.47
27/6/2020,25900,30.8985,1771.47
29/6/2020,25900,30.9055,1772.28
30/6/2020,25900,30.8905,1781.66
1/7/2020,26100,30.9536,1770.32
2/7/2020,26050,31.0538,1776.13
3/7/2020,26150,31.1152,1775.05
4/7/2020,26150,31.1152,1775.05
6/7/2020,26150,31.1152,1783.9
7/7/2020,26250,31.0815,1795.26
8/7/2020,26550,31.2838,1810.78
9/7/2020,26700,31.1613,1803.19
10/7/2020,26700,31.3001,1798.89
11/7/2020,26650,31.3001,1798.89
13/7/2020,26800,31.2979,1803.39
14/7/2020,26900,31.4983,1807.78
15/7/2020,27000,31.5112,1811.9
16/7/2020,27050,31.6696,1797.05
17/7/2020,27050,31.7109,1809.9
18/7/2020,27100,31.7109,1809.9
20/7/2020,27200,31.7889,1816.09
21/7/2020,27300,31.7384,1842.22
22/7/2020,27700,31.5762,1872.07
23/7/2020,28150,31.6385,1887.44
24/7/2020,28350,31.7256,1901.46
25/7/2020,28400,31.7256,1901.46
27/7/2020,28850,31.7256,1942.42
28/7/2020,28800,31.7256,1959.5
29/7/2020,29050,31.5055,1970.73
